http://cloc.sourceforge.net v 1.60  T=1.26 s (236.2 files/s, 34733.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
C:\dev\VoxelVerse\src\com\voxelengine\events\GUIEvent.as                                                          6             12             24
C:\dev\VoxelVerse\src\com\voxelengine\events\CollisionEvent.as                                                    7             12             24
C:\dev\VoxelVerse\src\com\voxelengine\events\PersistanceEvent.as                                                  7             12             24
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Avatar.as                                                        2              0             24
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowHelp.as                                                           6              2             24
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Prop.as                                                          5             37             23
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Target.as                                                       10             35             23
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Barrel.as                                                        4             17             23
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\GrainCursorIntersection.as                                       2              0             23
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\class-list.html                                             0              1             23
